Sl. No.,State/UT,Cases pending for more than 40 years - Civil Cases,Cases pending for more than 40 years - Criminal Cases,Cases pending for more than 30 years - Civil Cases,Cases pending for more than 30 years - Criminal Cases,Cases pending for more than 20 years - Civil Cases,Cases pending for more than 20 years - Criminal Cases
1,Andaman and Nicobar,NA,NA,0,5,16,69
2,Andhra Pradesh,2,18,26,38,288,277
3,Arunachal Pradesh,NA,NA,1,6,1,298
4,Assam,7,0,19,4,113,90
5,Bihar,679,701,3749,5603,17120,82115
6,Chandigarh,NA,NA,1,1,6,3
7,Chhattisgarh,2,0,5,1,41,21
8,Dadra and Nagar Haveli and Daman and Diu,NA,NA,0,2,1,13
9,Delhi,14,0,87,10,430,317
10,Goa,43,0,224,24,717,35
11,Gujarat,9,1,191,408,2657,7894
12,Haryana,3,0,12,2,31,12
13,Himachal Pradesh,0,1,1,1,32,6
14,Jammu and Kashmir,3,0,21,4,269,99
15,Jharkhand,12,19,68,84,524,477
16,Karnataka,17,0,135,10,1369,787
17,Kerala,17,1,100,10,475,129
18,Ladakh,NA,NA,NA,NA,NA,NA
19,Lakshadweep,NA,NA,NA,NA,2,0
20,Madhya Pradesh,7,1,44,8,375,227
21,Maharashtra,361,1431,1979,19357,11176,66561
22,Manipur,0,5,1,21,15,29
23,Meghalaya,4,4,13,29,73,133
24,Mizoram,NA,NA,NA,NA,NA,NA
25,Nagaland,NA,NA,NA,NA,1,0
26,Odisha,10,52,219,2562,2300,30441
27,Puducherry,1,0,2,0,37,20
28,Punjab,1,0,8,0,54,24
29,Rajasthan,54,1,244,16,1733,1133
30,Sikkim,NA,NA,NA,NA,NA,NA
31,Tamil Nadu,25,4,174,95,1517,1581
32,Telangana,1,4,18,63,771,350
33,Tripura,1,20,2,70,8,236
34,Uttar Pradesh,2607,392,16148,17760,66062,203726
35,Uttarakhand,1,0,1,0,47,34
36,West Bengal,644,3340,3197,13747,13844,69922
